Unnamed: 0.1,Unnamed: 0,all_authors
27103,27103,"[{'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Irvin Rothberg', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'J. Chandrasekharan', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27104,27104,"[{'name': 'David Kelly', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'H. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27105,27105,"[{'name': 'H. C. BROWN', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Deevi Basavaiah', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Narayan G. Bhat', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27106,27106,"[{'name': 'Gianlorenzo Marino', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27107,27107,"[{'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Manoj C. Desai', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'P. K. JADHAV', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27108,27108,"[{'name': 'Prashanth Ramachandran', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'Herbert C. Brown', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}]"
27109,27109,"[{'name': 'M. Mark Midland', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27110,27110,"[{'name': 'Herbert C. Brown', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'Dhanabalan Murali', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'Bakthan Singaram', 'affiliation': ['University of California, Santa Cruz'], 'nobel_prizes': 'NO'}]"
27111,27111,"[{'name': 'Herbert C. Brown', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'Norman R. De Lue', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}]"
27112,27112,"[{'name': 'Herbert C. Brown', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'R. R. IYER', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'Narayan G. Bhat', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'Uday S. Racherla', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'Charles A. Brown', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}]"
27113,27113,"[{'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Ashok K. Gupta', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'M. V. RANGAISHENVI', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'J. V. N. Vara Prasad', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27114,27114,"[{'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'H. I. Schlesinger', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Anton B. Burg', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27115,27115,"[{'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Bin Rao', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27116,27116,"[{'name': 'Herbert C. Brown', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'P. Veeraraghavan Ramachandran', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}]"
27117,27117,"[{'name': 'Herbert C. Brown', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'W. S. PARK', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}, {'name': 'B. T. CHO', 'affiliation': ['Purdue University West Lafayette'], 'nobel_prizes': 'NO'}]"
27118,27118,"[{'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Morris Srebnik', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Raman K. Bakshi', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Thomas E. Cole', 'affiliation': [], 'nobel_prizes': 'NO'}]"
27119,27119,"[{'name': 'Herbert C. Brown', 'affiliation': [], 'nobel_prizes': 'NO'}, {'name': 'Shyam K. Gupta', 'affiliation': [], 'nobel_prizes': 'NO'}]"
